Rank,Player,Deck,Wins,Losses,Card,Count,Main/Side
4,liopoil,Naya Fury,9,3,Forest,1,Main
4,liopoil,Naya Fury,9,3,Archon of Absolution,3,Sideboard
4,liopoil,Naya Fury,9,3,Redcap Melee,2,Sideboard
4,liopoil,Naya Fury,9,3,Ox of Agonas,1,Sideboard
4,liopoil,Naya Fury,9,3,Phoenix of Ash,2,Sideboard
4,liopoil,Naya Fury,9,3,Scorching Dragonfire,2,Sideboard
4,liopoil,Naya Fury,9,3,Roiling Vortex,2,Sideboard
4,liopoil,Naya Fury,9,3,The Akroan War,1,Sideboard
4,liopoil,Naya Fury,9,3,Tormod's Crypt,1,Sideboard
4,liopoil,Naya Fury,9,3,"Reidane, God of the Worthy",1,Sideboard
5,J  P,Mono-Red Aggro,9,2,Arni Brokenbrow,2,Main
5,J  P,Mono-Red Aggro,9,2,Frost Bite,4,Main
5,J  P,Mono-Red Aggro,9,2,Bonecrusher Giant,4,Main
5,J  P,Mono-Red Aggro,9,2,Fireblade Charger,4,Main
5,J  P,Mono-Red Aggro,9,2,"Anax, Hardened in the Forge",4,Main
5,J  P,Mono-Red Aggro,9,2,Robber of the Rich,4,Main
5,J  P,Mono-Red Aggro,9,2,Rimrock Knight,4,Main
5,J  P,Mono-Red Aggro,9,2,Fervent Champion,4,Main
5,J  P,Mono-Red Aggro,9,2,Embercleave,4,Main
5,J  P,Mono-Red Aggro,9,2,"Torbran, Thane of Red Fell",2,Main
5,J  P,Mono-Red Aggro,9,2,Castle Embereth,2,Main
5,J  P,Mono-Red Aggro,9,2,Faceless Haven,4,Main
5,J  P,Mono-Red Aggro,9,2, Snow-Covered Mountain,18,Main
5,J  P,Mono-Red Aggro,9,2,Embereth Paladin,2,Sideboard
5,J  P,Mono-Red Aggro,9,2,The Akroan War,2,Sideboard
5,J  P,Mono-Red Aggro,9,2,Claim the Firstborn,4,Sideboard
5,J  P,Mono-Red Aggro,9,2,Roiling Vortex,3,Sideboard
5,J  P,Mono-Red Aggro,9,2,Phoenix of Ash,3,Sideboard
5,J  P,Mono-Red Aggro,9,2,Ox of Agonas,1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8,3,Omen of the Sea,4,Main
6,outback@ Horie,Sultai Ultimatum,8,3,"Valki, God of Lies",1,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Heartless Act,4,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Cultivate,4,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Binding the Old Gods,4,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Eliminate,2,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Emergent Ultimatum,4,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Erebos's Intervention,1,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Alrund's Epiphany,2,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Kiora Bests the Sea God,1,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Extinction Event,2,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Zagoth Triome,4,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Ketria Triome,2,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Barkchannel Pathway,4,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Darkbore Pathway,4,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Clearwater Pathway,4,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Sea Gate Restoration,2,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Forest,4,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Jwari Disruption,4,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Fabled Passage,3,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Mazemind Tome,3,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Elspeth's Nightmare,2,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Island,2,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Shark Typhoon,1,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Shadows' Verdict,2,Main
6,outback@ Horie,Sultai Ultimatum,8,3,"Yorion, Sky Nomad",2,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Wolfwillow Haven,4,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Esika's Chariot,1,Main
6,outback@ Horie,Sultai Ultimatum,8,3,Swamp,3,Main
6,outback@ Horie,Sultai Ultimatum,8,3,"Yorion, Sky Nomad",1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8,3,"Polukranos, Unchained",1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8,3,Negate,2,Sideboard
6,outback@ Horie,Sultai Ultimatum,8,3,Agonizing Remorse,2,Sideboard
6,outback@ Horie,Sultai Ultimatum,8,3,Eliminate,1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8,3,"Koma, Cosmos Serpent",2,Sideboard
6,outback@ Horie,Sultai Ultimatum,8,3,Soul Shatter,1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8,3,Elder Gargaroth,1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8,3,Disdainful Stroke,2,Sideboard
6,outback@ Horie,Sultai Ultimatum,8,3,Shark Typhoon,1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8,3,Cling to Dust,1,Sideboard
7,Riley Hicks,Jund Sacrifice,8,3,Blightstep Pathway,4,Main
7,Riley Hicks,Jund Sacrifice,8,3,Bonecrusher Giant,4,Main
7,Riley Hicks,Jund Sacrifice,8,3,Cragcrown Pathway,4,Main
7,Riley Hicks,Jund Sacrifice,8,3,Claim the Firstborn,4,Main
7,Riley Hicks,Jund Sacrifice,8,3,Fabled Passage,4,Main
7,Riley Hicks,Jund Sacrifice,8,3,Immersturm Predator,2,Main
7,Riley Hicks,Jund Sacrifice,8,3,"Kroxa, Titan of Death's Hunger",2,Main
7,Riley Hicks,Jund Sacrifice,8,3,Mountain,2,Main
7,Riley Hicks,Jund Sacrifice,8,3,Swamp,3,Main
7,Riley Hicks,Jund Sacrifice,8,3,Forest,1,Main
7,Riley Hicks,Jund Sacrifice,8,3,The Akroan War,3,Main
