Rank,Player,Deck,Record,List
11,cftsoc,Naya Adventures,8/2/2000,"Deck
4 Edgewall Innkeeper
2 Forest
4 Lovestruck Beast
4 Unleash Fury
2 Mountain
4 Goldspan Dragon
4 Sejiri Shelter
1 Plains
4 Showdown of the Skalds
4 Shepherd of the Flock
4 Bonecrusher Giant
4 Giant Killer
4 Kazuul's Fury
4 Needleverge Pathway
4 Branchloft Pathway
4 Cragcrown Pathway
3 Fabled Passage

Sideboard
3 Roiling Vortex
2 Scorching Dragonfire
3 Phoenix of Ash
3 Archon of Absolution
1 Tormod's Crypt
2 Redcap Melee
1 Fire Prophecy"
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,"Companion
1 Lurrus of the Dream-Den

Deck
4 Drannith Stinger
4 Flourishing Fox
4 Drannith Healer
4 Valiant Rescuer
3 Boon of the Wish-Giver
4 Go for Blood
3 Footfall Crater
3 Frostveil Ambush
4 Startling Development
4 Zenith Flare
4 Improbable Alliance
1 Island
4 Raugrin Triome
4 Needleverge Pathway
1 Plains
4 Hengegate Pathway
4 Riverglide Pathway
1 Mountain

Sideboard
2 Shatter the Sky
2 Roiling Vortex
3 Redcap Melee
3 Shredded Sails
1 Lurrus of the Dream-Den
2 Negate
2 Mystical Dispute"
13,hironori tanaka,Sultai Ultimatum,7/2/2000,"Companion
1 Yorion, Sky Nomad

Deck
4 Omen of the Sea
2 Valki, God of Lies
2 Negate
4 Heartless Act
4 Wolfwillow Haven
4 Cultivate
4 Binding the Old Gods
2 Shadows' Verdict
4 Emergent Ultimatum
2 Alrund's Epiphany
1 Kiora Bests the Sea God
4 Zagoth Triome
2 Ketria Triome
4 Barkchannel Pathway
4 Darkbore Pathway
4 Clearwater Pathway
2 Sea Gate Restoration
1 Elspeth's Nightmare
3 Forest
2 Island
4 Jwari Disruption
4 Fabled Passage
3 Mazemind Tome
3 Swamp
1 Eliminate
2 Extinction Event
2 Shark Typhoon
1 Erebos's Intervention
1 Yorion, Sky Nomad

Sideboard
1 Yorion, Sky Nomad
1 Glimpse of Freedom
2 Koma, Cosmos Serpent
1 Shadows' Verdict
2 Duress
3 Mystical Dispute
2 Elder Gargaroth
1 Soul Shatter
1 Elspeth's Nightmare
1 Polukranos, Unchained"
14,Garrison Fogt,Four-color Cycling,7/2/2000,"Companion
1 Lurrus of the Dream-Den

Deck
4 Drannith Stinger
4 Flourishing Fox
4 Drannith Healer
4 Valiant Rescuer
3 Boon of the Wish-Giver
4 Go for Blood
4 Memory Leak
3 Frostveil Ambush
4 Startling Development
4 Zenith Flare
3 Improbable Alliance
2 Brightclimb Pathway
3 Raugrin Triome
4 Needleverge Pathway
1 Blightstep Pathway
1 Clearwater Pathway
4 Hengegate Pathway
4 Riverglide Pathway

Sideboard
3 Shatter the Sky
2 Roiling Vortex
3 Redcap Melee
2 Shredded Sails
1 Lurrus of the Dream-Den
2 Negate
2 Mystical Dispute"
15,Kazune Kosaka,Naya Adventures,7/2/2000,"Deck
3 Giant Killer
4 Shepherd of the Flock
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Lovestruck Beast
4 Fabled Passage
4 Sejiri Shelter
4 Kazuul's Fury
4 Branchloft Pathway
4 Cragcrown Pathway
4 Needleverge Pathway
4 Unleash Fury
4 Showdown of the Skalds
2 Forest
2 Mountain
1 Plains
4 Goldspan Dragon

Sideboard
2 Archon of Absolution
2 Roiling Vortex
2 Redcap Melee
3 The Akroan War
2 Ox of Agonas
3 Fire Prophecy
1 Giant Killer"
16,Lorenzo Pollone,Sultai Ultimatum,7/2/2000,"Companion
1 Yorion, Sky Nomad

Deck
2 Valki, God of Lies
4 Mazemind Tome
1 Vorinclex, Monstrous Raider
2 Negate
2 Jwari Disruption
4 Heartless Act
4 Eliminate
2 Extinction Event
2 Sea Gate Restoration
2 Alrund's Epiphany
2 Shadows' Verdict
4 Cultivate
4 Emergent Ultimatum
1 Kiora Bests the Sea God
4 Wolfwillow Haven
4 Omen of the Sea
4 Binding the Old Gods
2 Island
2 Ketria Triome
4 Barkchannel Pathway
4 Darkbore Pathway
4 Forest
4 Swamp
4 Clearwater Pathway
4 Fabled Passage
4 Zagoth Triome

Sideboard
1 Shadows' Verdict
1 Yorion, Sky Nomad
1 Koma, Cosmos Serpent
1 Cling to Dust
2 Duress
2 Crippling Fear
2 Elder Gargaroth
2 Glimpse of Freedom
3 Mystical Dispute"
17,Barry Riddell,Mono-Red Aggro,7/2/2000,"Deck
4 Fervent Champion
2 Rimrock Knight
3 Frost Bite
4 Robber of the Rich
4 Bonecrusher Giant
4 Anax, Hardened in the Forge
3 Embercleave
4 Faceless Haven
20 Snow-Covered Mountain
2 Torbran, Thane of Red Fell
1 Shatterskull Smashing
1 Castle Embereth
2 Goldspan Dragon
3 Fireblade Charger
1 The Akroan War
2 Dragonkin Berserker

Sideboard
2 Redcap Melee
2 Roiling Vortex
1 Embereth Paladin
1 Frost Bite
2 Embereth Shieldbreaker
3 Soul Sear
1 The Akroan War
3 Roil Eruption"
18,M. Kraus,Naya Adventures,7/2/2000,"Deck
4 Bonecrusher Giant
4 Branchloft Pathway
4 Brushfire Elemental
4 Cragcrown Pathway
4 Edgewall Innkeeper
3 Embercleave
4 Fabled Passage
4 Forest
2 Giant Killer
2 Questing Beast
4 Kazandu Mammoth
1 Arni Brokenbrow
4 Lovestruck Beast
2 Mountain
3 Needleverge Pathway
1 Plains
3 Shatterskull Smashing
3 Showdown of the Skalds
1 Temple of Plenty
1 The Great Henge
2 Goldspan Dragon

Sideboard
4 Fire Prophecy
1 Klothys, God of Destiny
2 Masked Vandal
2 Ox of Agonas
2 The Akroan War
1 Giant Killer
1 Scavenging Ooze
2 Snakeskin Veil"
19,NamelessThing,Naya Adventures,7/2/2000,"Deck
4 Needleverge Pathway
4 Lovestruck Beast
4 Sejiri Shelter
3 Unleash Fury
2 The Akroan War
3 Fabled Passage
4 Bonecrusher Giant
4 Kazuul's Fury
4 Showdown of the Skalds
4 Giant Killer
4 Goldspan Dragon
4 Edgewall Innkeeper
4 Cragcrown Pathway
4 Branchloft Pathway
3 Shepherd of the Flock
1 Plains
2 Mountain
2 Forest

Sideboard
3 Archon of Absolution
1 Redcap Melee
2 Phoenix of Ash
4 Fire Prophecy
2 Roiling Vortex
1 Embereth Shieldbreaker
2 Reidane, God of the Worthy"
20,Tyler Heule,Mono-Red Aggro,7/2/2000,"Deck
4 Bonecrusher Giant
3 Embercleave
4 Fervent Champion
3 Rimrock Knight
4 Robber of the Rich
2 Torbran, Thane of Red Fell
4 Anax, Hardened in the Forge
3 Fireblade Charger
3 Frost Bite
3 Goldspan Dragon
2 Dragonkin Berserker
4 Faceless Haven
2 Castle Embereth
19 Snow-Covered Mountain

Sideboard
2 Ox of Agonas
1 Embereth Paladin
1 Opportunistic Dragon
4 Roiling Vortex
2 Embereth Shieldbreaker
1 Soul Sear
2 Redcap Melee
2 Scorching Dragonfire"
21,Andrew Baeckstrom,Dimir Rogues,7/2/2000,"Companion
1 Lurrus of the Dream-Den

Deck
3 Ruin Crab
4 Thieves' Guild Enforcer
4 Soaring Thought-Thief
4 Merfolk Windrobber
2 Eliminate
2 Didn't Say Please
2 Mystical Dispute
3 Heartless Act
4 Into the Story
4 Drown in the Loch
2 Of One Mind
2 Agadeem's Awakening
1 Castle Locthwain
3 Zagoth Triome
3 Temple of Deceit
4 Swamp
4 Fabled Passage
4 Clearwater Pathway
5 Island

Sideboard
1 Mystical Dispute
1 Lurrus of the Dream-Den
2 Lullmage's Domination
2 Negate
2 Cling to Dust
2 Crippling Fear
2 Dead Weight
3 Skyclave Shade"
22,Paulo Henrique Dos Santos Pinto,Grixis Control,7/2/2000,"Deck
3 Shark Typhoon
4 Clearwater Pathway
4 Riverglide Pathway
2 Saw It Coming
4 Bonecrusher Giant
3 Valki, God of Lies
4 Heartless Act
4 Temple of Deceit
4 Temple of Epiphany
1 Swamp
4 Brazen Borrower
2 Island
2 Behold the Multiverse
3 Mazemind Tome
4 Blightstep Pathway
4 Goldspan Dragon
2 Shatterskull Smashing
2 Negate
1 Mountain
1 Eliminate
1 Erebos's Intervention
1 Disdainful Stroke

Sideboard
3 Mystical Dispute
2 Shadows' Verdict
2 Ox of Agonas
3 Duress
1 Scorching Dragonfire
1 Kroxa, Titan of Death's Hunger
1 Erebos's Intervention
2 Cinderclasm"
23,Petros Tziotis,Sultai Ultimatum,7/2/2000,"Companion
1 Yorion, Sky Nomad

Deck
4 Emergent Ultimatum
4 Omen of the Sea
4 Wolfwillow Haven
4 Cultivate
1 Vorinclex, Monstrous Raider
2 Valki, God of Lies
3 Behold the Multiverse
2 Alrund's Epiphany
1 Kiora Bests the Sea God
4 Barkchannel Pathway
4 Darkbore Pathway
4 Clearwater Pathway
1 Ketria Triome
4 Zagoth Triome
4 Fabled Passage
4 Forest
3 Swamp
3 Island
1 Temple of Mystery
1 Blightstep Pathway
4 Binding the Old Gods
2 Sea Gate Restoration
4 Jwari Disruption
3 Heartless Act
3 Shadows' Verdict
2 Agonizing Remorse
2 Mystical Dispute
2 Negate

Sideboard
1 Yorion, Sky Nomad
3 Duress
1 Negate
1 Cling to Dust
1 Crippling Fear
1 Eliminate
2 Elder Gargaroth
2 Polukranos, Unchained
1 Koma, Cosmos Serpent
1 Mazemind Tome
1 Soul Shatter"
24,insanity,Mono-White Aggro,7/2/2000,"Deck
4 Alseid of Life's Bounty
2 Giant Killer
3 Halvar, God of Battle
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
4 Usher of the Fallen
3 Maul of the Skyclaves
4 Faceless Haven
19 Snow-Covered Plains
2 Reidane, God of the Worthy
2 Sentinel's Eyes
1 Legion Angel

Sideboard
3 Drannith Magistrate
3 Legion Angel
2 Soul-Guide Lantern
4 Glass Casket
1 Reidane, God of the Worthy
2 Giant Killer"
25,Bjorn Telgenkamp,Mono-Red Aggro,7/2/2000,"Deck
1 Phoenix of Ash
2 Goldspan Dragon
2 Torbran, Thane of Red Fell
4 Bonecrusher Giant
3 Fireblade Charger
4 Anax, Hardened in the Forge
4 Robber of the Rich
2 Rimrock Knight
4 Fervent Champion
4 Embercleave
3 Frost Bite
2 Castle Embereth
4 Faceless Haven
19 Snow-Covered Mountain
2 Dragonkin Berserker

Sideboard
1 Redcap Melee
1 Frost Bite
2 The Akroan War
2 Phoenix of Ash
2 Scorching Dragonfire
3 Roiling Vortex
2 Ox of Agonas
2 Soul Sear"
26,Tianhao Xu,Mono-White Aggro,7/2/2000,"Deck
1 Castle Ardenvale
18 Snow-Covered Plains
4 Faceless Haven
2 Giant Killer
4 Usher of the Fallen
4 Selfless Savior
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Maul of the Skyclaves
2 Reidane, God of the Worthy
4 Skyclave Apparition
2 Halvar, God of Battle
1 Legion Angel
4 Alseid of Life's Bounty
2 Sentinel's Eyes

Sideboard
4 Glass Casket
2 Drannith Magistrate
1 Reidane, God of the Worthy
2 Legion Angel
1 Soul-Guide Lantern
2 Giant Killer
3 Archon of Absolution"
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,"Deck
4 Alseid of Life's Bounty
4 Faceless Haven
1 Castle Ardenvale
3 Giant Killer
4 Selfless Savior
3 Usher of the Fallen
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Maul of the Skyclaves
3 Reidane, God of the Worthy
4 Skyclave Apparition
1 Legion Angel
3 Halvar, God of Battle
18 Snow-Covered Plains

Sideboard
1 Baneslayer Angel
2 Drannith Magistrate
4 Glass Casket
2 Legion Angel
2 Shadowspear
3 Archon of Absolution
1 Giant Killer"
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,"Companion
1 Yorion, Sky Nomad

Deck
4 Fabled Passage
4 Shadows' Verdict
2 Ketria Triome
4 Omen of the Sea
4 Zagoth Triome
4 Emergent Ultimatum
1 Kiora Bests the Sea God
1 Vorinclex, Monstrous Raider
3 Valki, God of Lies
4 Heartless Act
4 Cultivate
4 Binding the Old Gods
2 Polukranos, Unchained
4 Wolfwillow Haven
4 Alrund's Epiphany
4 Clearwater Pathway
4 Barkchannel Pathway
4 Darkbore Pathway
4 Jwari Disruption
3 Cragcrown Pathway
2 Forest
4 Swamp
2 Island
4 Elspeth's Nightmare

Sideboard
1 Yorion, Sky Nomad
3 Mystical Dispute
3 Duress
3 Behold the Multiverse
3 Saw It Coming
2 Negate"
29,Achim Noffke,Temur Adventures,7/2/2000,"Companion
1 Obosh, the Preypiercer

Deck
4 Saw It Coming
4 Ketria Triome
4 Riverglide Pathway
2 Mountain
4 Bonecrusher Giant
4 Lovestruck Beast
2 Island
4 Alrund's Epiphany
4 Cragcrown Pathway
2 The Great Henge
2 Forest
4 Brazen Borrower
4 Edgewall Innkeeper
4 Goldspan Dragon
4 Barkchannel Pathway
4 Fabled Passage
4 Kazandu Mammoth

Sideboard
4 Mystical Dispute
2 Soul Sear
1 Obosh, the Preypiercer
3 Redcap Melee
2 Klothys, God of Destiny
2 Ox of Agonas
1 Broken Wings"
30,Berk Elçi,Dimir Rogues,7/2/2000,"Companion
1 Lurrus of the Dream-Den

Deck
3 Merfolk Windrobber
4 Ruin Crab
4 Soaring Thought-Thief
4 Thieves' Guild Enforcer
2 Valki, God of Lies
2 Agadeem's Awakening
2 Bloodchief's Thirst
2 Lullmage's Domination
2 Of One Mind
4 Drown in the Loch
3 Heartless Act
4 Into the Story
1 Blightstep Pathway
4 Clearwater Pathway
4 Fabled Passage
4 Island
1 Riverglide Pathway
3 Swamp
4 Temple of Deceit
2 Zagoth Triome
1 Didn't Say Please

Sideboard
1 Bloodchief's Thirst
2 Cling to Dust
2 Crippling Fear
2 Disdainful Stroke
1 Lurrus of the Dream-Den
2 Mystical Dispute
3 Skyclave Shade
2 Negate"
31,Florian Klein,Grixis Control,7/2/2000,"Companion
1 Jegantha, the Wellspring

Deck
4 Blightstep Pathway
4 Bonecrusher Giant
4 Claim the Firstborn
4 Fabled Passage
3 Immersturm Predator
2 Kroxa, Titan of Death's Hunger
2 Mountain
1 Island
4 The Akroan War
4 Riverglide Pathway
2 Valki, God of Lies
4 Village Rites
3 Swamp
4 Woe Strider
3 Mire Triton
2 Kazuul's Fury
2 Temple of Deceit
2 Thassa, Deep-Dwelling
4 Clearwater Pathway
2 Skyclave Shade

Sideboard
3 Duress
1 Skyclave Shade
2 Ox of Agonas
3 Disdainful Stroke
2 Mystical Dispute
1 Jegantha, the Wellspring
1 Roiling Vortex
2 Negate"
32,Tian Fa Mun,Four-color Control,6/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
3 Yorion, Sky Nomad
4 Omen of the Sea
2 Omen of the Sun
2 Archon of Sun's Grace
4 Heartless Act
2 Golden Egg
4 Extinction Event
2 Dance of the Manse
2 Treacherous Blessing
4 Elspeth's Nightmare
4 Doom Foretold
2 Swamp
2 Plains
2 Island
4 Fabled Passage
2 The Raven's Warning
1 Forest
4 Clearwater Pathway
4 Brightclimb Pathway
3 Eliminate
4 Hengegate Pathway
4 Zagoth Triome
2 Negate
4 Binding the Old Gods
3 Indatha Triome
2 Branchloft Pathway
2 Barkchannel Pathway
2 Emeria's Call

Sideboard
1 Yorion, Sky Nomad
1 Dance of the Manse
2 Mystical Dispute
1 Archon of Sun's Grace
1 Cling to Dust
2 Glass Casket
2 Disdainful Stroke
2 Negate
1 Chainweb Aracnir
2 Miscast"
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,"Deck
4 Fervent Champion
2 Rimrock Knight
3 Frost Bite
4 Robber of the Rich
4 Bonecrusher Giant
4 Anax, Hardened in the Forge
3 Embercleave
4 Faceless Haven
20 Snow-Covered Mountain
2 Torbran, Thane of Red Fell
1 Shatterskull Smashing
1 Castle Embereth
2 Goldspan Dragon
3 Fireblade Charger
1 The Akroan War
2 Dragonkin Berserker

Sideboard
2 Ox of Agonas
2 Redcap Melee
1 Roiling Vortex
2 Embereth Paladin
1 Frost Bite
3 Embereth Shieldbreaker
3 Soul Sear
1 The Akroan War"
34,PTarts2win,Gruul Adventures,6/3/2000,"Deck
4 Edgewall Innkeeper
4 Mountain
8 Forest
3 Scavenging Ooze
4 Brushfire Elemental
4 Shatterskull Smashing
4 Bonecrusher Giant
4 Lovestruck Beast
4 Kazandu Mammoth
3 Questing Beast
4 Embercleave
4 Cragcrown Pathway
4 Fabled Passage
2 The Great Henge
2 The Akroan War
2 Fire Prophecy

Sideboard
2 Fire Prophecy
2 Soul Sear
3 Klothys, God of Destiny
2 The Akroan War
2 Ox of Agonas
2 Vivien, Monsters' Advocate
2 Wilt"
35,Alberto Canetti,Gruul Adventures,6/3/2000,"Deck
4 Edgewall Innkeeper
7 Forest
5 Mountain
2 Scavenging Ooze
4 Brushfire Elemental
4 Shatterskull Smashing
4 Bonecrusher Giant
4 Lovestruck Beast
4 Kazandu Mammoth
3 Questing Beast
3 Embercleave
4 Cragcrown Pathway
4 Fabled Passage
2 The Great Henge
2 Arni Brokenbrow
2 Fire Prophecy
2 The Akroan War

Sideboard
2 Wilt
3 Soul Sear
2 Ox of Agonas
2 Garruk, Unleashed
2 Phoenix of Ash
2 Redcap Melee
2 Fire Prophecy"
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
4 Zagoth Triome
3 Island
3 Swamp
3 Forest
2 Jwari Disruption
4 Darkbore Pathway
4 Barkchannel Pathway
4 Clearwater Pathway
4 Fabled Passage
1 Shark Typhoon
4 Omen of the Sea
4 Binding the Old Gods
2 Shadows' Verdict
4 Heartless Act
4 Cultivate
2 Alrund's Epiphany
4 Eliminate
2 Elder Gargaroth
2 Extinction Event
4 Emergent Ultimatum
1 Disdainful Stroke
2 Sea Gate Restoration
1 Kiora Bests the Sea God
1 Negate
4 Mazemind Tome
4 Wolfwillow Haven
1 Ketria Triome
1 Blightstep Pathway
1 Cragcrown Pathway

Sideboard
1 Yorion, Sky Nomad
3 Mystical Dispute
1 Negate
2 Duress
1 Crippling Fear
2 Polukranos, Unchained
2 Glimpse of Freedom
1 Shadows' Verdict
1 Valki, God of Lies
1 Koma, Cosmos Serpent"
37,Darío Fernández,Jund Sacrifice,6/3/2000,"Companion
1 Jegantha, the Wellspring

Deck
4 Blightstep Pathway
4 Bonecrusher Giant
4 Cragcrown Pathway
4 Claim the Firstborn
4 Fabled Passage
3 Immersturm Predator
2 Kroxa, Titan of Death's Hunger
2 Mountain
3 Swamp
1 Forest
3 The Akroan War
2 Temple of Malice
3 Valki, God of Lies
4 Village Rites
4 Woe Strider
4 Skyclave Shade
2 Kazuul's Fury
3 Korvold, Fae-Cursed King
4 Darkbore Pathway

Sideboard
3 Duress
2 Elspeth's Nightmare
2 Heartless Act
2 Ox of Agonas
2 Klothys, God of Destiny
1 Toski, Bearer of Secrets
1 Masked Vandal
1 Jegantha, the Wellspring
1 The Akroan War"
38,yoshiro mikami,Sultai Ultimatum,6/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
4 Omen of the Sea
1 Valki, God of Lies
4 Heartless Act
3 Cultivate
4 Binding the Old Gods
1 Eliminate
4 Emergent Ultimatum
1 Erebos's Intervention
2 Alrund's Epiphany
1 Kiora Bests the Sea God
2 Extinction Event
4 Zagoth Triome
2 Ketria Triome
4 Barkchannel Pathway
4 Darkbore Pathway
4 Clearwater Pathway
2 Sea Gate Restoration
3 Forest
3 Swamp
4 Jwari Disruption
4 Fabled Passage
4 Mazemind Tome
2 Island
3 Elspeth's Nightmare
1 Omen of the Hunt
1 Shark Typhoon
2 Shadows' Verdict
2 Yorion, Sky Nomad
4 Wolfwillow Haven

Sideboard
1 Yorion, Sky Nomad
1 Polukranos, Unchained
2 Glimpse of Freedom
2 Negate
3 Agonizing Remorse
1 Eliminate
2 Koma, Cosmos Serpent
1 Shadows' Verdict
1 Elder Gargaroth
1 Disdainful Stroke"
39,Darwin Fuenzalida,Gruul Adventures,6/3/2000,"Deck
4 Bonecrusher Giant
4 Brushfire Elemental
4 Cragcrown Pathway
4 Edgewall Innkeeper
4 Embercleave
4 Fabled Passage
2 Fire Prophecy
4 Snow-Covered Mountain
2 Arni Brokenbrow
4 Kazandu Mammoth
4 Lovestruck Beast
8 Snow-Covered Forest
2 Questing Beast
2 Scavenging Ooze
4 Shatterskull Smashing
2 The Akroan War
2 The Great Henge

Sideboard
1 Scorching Dragonfire
2 Klothys, God of Destiny
1 Ox of Agonas
3 Soul Sear
2 Garruk, Unleashed
2 Vivien, Monsters' Advocate
2 Wilt
2 Frost Bite"
