"Rank","Player","Deck","Wins","Losses","List"
"75","Maxime Mathy","Gruul Adventures","4","3","Deck
4 Bonecrusher Giant
4 Brushfire Elemental
4 Cragcrown Pathway
4 Edgewall Innkeeper
4 Embercleave
4 Fabled Passage
4 Goldspan Dragon
4 Kazandu Mammoth
4 Lovestruck Beast
7 Forest
2 Questing Beast
2 Scavenging Ooze
4 Shatterskull Smashing
2 Snakeskin Veil
2 Arni Brokenbrow
5 Mountain

Sideboard
2 Ox of Agonas
4 Scorching Dragonfire
2 Soul Sear
2 The Akroan War
3 Wilt
2 The Great Henge"
"76","Robert McKee","Mono-Red Aggro","4","3","Deck
18 Snow-Covered Mountain
4 Frost Bite
4 Fervent Champion
4 Fireblade Charger
4 Rimrock Knight
4 Robber of the Rich
4 Bonecrusher Giant
4 Anax, Hardened in the Forge
2 Torbran, Thane of Red Fell
2 Goldspan Dragon
4 Embercleave
4 Faceless Haven
2 Castle Embereth

Sideboard
4 Redcap Melee
4 Phoenix of Ash
3 Scorching Dragonfire
4 Claim the Firstborn"
"77","Rapsolo","Mono-White Aggro","4","3","Deck
4 Alseid of Life's Bounty
2 Giant Killer
3 Halvar, God of Battle
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
3 Usher of the Fallen
4 Maul of the Skyclaves
4 Faceless Haven
18 Snow-Covered Plains
2 Reidane, God of the Worthy
2 Sentinel's Eyes
1 Castle Ardenvale
1 Kabira Takedown

Sideboard
2 Drannith Magistrate
2 Soul-Guide Lantern
4 Glass Casket
1 Reidane, God of the Worthy
1 Giant Killer
3 Archon of Absolution
2 Disenchant"
"78","Vonschuggle","Mono-Red Aggro","4","3","Deck
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
2 Castle Embereth
4 Embercleave
4 Faceless Haven
4 Fervent Champion
4 Fireblade Charger
4 Frost Bite
2 Goldspan Dragon
4 Rimrock Knight
4 Robber of the Rich
18 Snow-Covered Mountain
2 Torbran, Thane of Red Fell

Sideboard
3 Ox of Agonas
2 Phoenix of Ash
2 Scorching Dragonfire
2 Roiling Vortex
2 The Akroan War
2 Redcap Melee
2 Soul Sear"
"79","Francesco Recchiuti","Rakdos Sacrifice","4","3","Deck
1 Castle Locthwain
4 Skyclave Shade
4 Claim the Firstborn
3 Rankle, Master of Pranks
4 Goldspan Dragon
2 Valki, God of Lies
4 Bonecrusher Giant
4 Woe Strider
3 Village Rites
2 The Akroan War
3 Shatterskull Smashing
4 Fabled Passage
4 Blightstep Pathway
4 Temple of Malice
5 Swamp
4 Mountain
2 Heartless Act
1 Agadeem's Awakening
2 Robber of the Rich

Sideboard
2 The Akroan War
4 Duress
3 Ox of Agonas
1 Heartless Act
1 Shredded Sails
2 Roiling Vortex
2 Bloodchief's Thirst"
"80","Thierry Ramboa","Sultai Ultimatum","4","3","Companion
1 Yorion, Sky Nomad

Deck
4 Omen of the Sea
2 Valki, God of Lies
1 Negate
4 Heartless Act
2 Elspeth's Nightmare
4 Cultivate
4 Binding the Old Gods
3 Shadows' Verdict
4 Emergent Ultimatum
2 Alrund's Epiphany
1 Kiora Bests the Sea God
1 Disdainful Stroke
4 Zagoth Triome
2 Ketria Triome
4 Barkchannel Pathway
4 Darkbore Pathway
4 Clearwater Pathway
3 Sea Gate Restoration
4 Wolfwillow Haven
4 Forest
2 Island
1 Jwari Disruption
4 Fabled Passage
4 Mazemind Tome
4 Swamp
2 Eliminate
1 Extinction Event
1 Soul Shatter

Sideboard
1 Yorion, Sky Nomad
3 Negate
2 Cling to Dust
2 Duress
3 Shark Typhoon
4 Elder Gargaroth"
"81","Joseph DeJoy","Sultai Ultimatum","4","3","Companion
1 Yorion, Sky Nomad

Deck
4 Wolfwillow Haven
4 Emergent Ultimatum
4 Cultivate
4 Shadows' Verdict
2 Negate
1 Extinction Event
2 Jwari Disruption
4 Heartless Act
2 Eliminate
1 Vorinclex, Monstrous Raider
2 Valki, God of Lies
4 Binding the Old Gods
2 Alrund's Epiphany
1 Kiora Bests the Sea God
4 Omen of the Sea
2 Sea Gate Restoration
2 Elspeth's Nightmare
3 Mazemind Tome
2 Ketria Triome
4 Zagoth Triome
4 Fabled Passage
4 Clearwater Pathway
4 Barkchannel Pathway
4 Darkbore Pathway
2 Island
4 Swamp
4 Forest

Sideboard
1 Yorion, Sky Nomad
4 Duress
2 Negate
2 Mystical Dispute
1 Polukranos, Unchained
1 Cling to Dust
1 Glimpse of Freedom
1 Crippling Fear
2 Elder Gargaroth"
"82","Matteo Bruschi","Four-color Control","4","3","Companion
1 Yorion, Sky Nomad

Deck
3 Yorion, Sky Nomad
4 Omen of the Sea
2 Omen of the Sun
2 Archon of Sun's Grace
4 Heartless Act
2 Golden Egg
4 Extinction Event
2 Dance of the Manse
2 Treacherous Blessing
4 Elspeth's Nightmare
4 Doom Foretold
2 Swamp
2 Plains
2 Island
4 Fabled Passage
2 The Raven's Warning
1 Forest
4 Clearwater Pathway
4 Brightclimb Pathway
3 Eliminate
4 Hengegate Pathway
4 Zagoth Triome
2 Negate
4 Binding the Old Gods
3 Indatha Triome
2 Branchloft Pathway
2 Barkchannel Pathway
2 Emeria's Call

Sideboard
1 Yorion, Sky Nomad
1 Dance of the Manse
2 Mystical Dispute
1 Archon of Sun's Grace
2 Cling to Dust
1 Glass Casket
2 Disdainful Stroke
2 Negate
1 Miscast
1 Annul
1 Pestilent Haze"
"83","John Boyd","Mono-Green Aggro","4","3","Deck
3 Swarm Shambler
21 Snow-Covered Forest
2 Scavenging Ooze
4 Old-Growth Troll
4 Stonecoil Serpent
3 Gemrazer
3 Questing Beast
2 Vivien, Monsters' Advocate
2 Vorinclex, Monstrous Raider
2 The Great Henge
4 Blizzard Brawl
4 Lovestruck Beast
4 Castle Garenbrig
2 Wildborn Preserver

Sideboard
2 Chainweb Aracnir
2 Snakeskin Veil
3 Garruk's Harbinger
1 The Great Henge
1 Scavenging Ooze
2 Wilt
2 Elder Gargaroth
2 Toski, Bearer of Secrets"
"84","Max Dore","Rakdos Sacrifice","4","3","Deck
4 Blightstep Pathway
3 Bonecrusher Giant
2 Castle Locthwain
4 Claim the Firstborn
1 Egon, God of Death
4 Fabled Passage
2 Heartless Act
3 Kroxa, Titan of Death's Hunger
4 Mountain
1 Ox of Agonas
3 Rankle, Master of Pranks
2 Savai Triome
4 Shatterskull Smashing
1 Shredded Sails
6 Swamp
3 The Akroan War
4 Village Rites
4 Woe Strider
2 Valki, God of Lies
2 Tymaret Calls the Dead
1 Bloodchief's Thirst

Sideboard
2 Agonizing Remorse
1 Embereth Shieldbreaker
2 Duress
2 Eat to Extinction
2 Liliana, Waker of the Dead
1 Ox of Agonas
4 Robber of the Rich
1 Shredded Sails"
"85","Kyle Lewis","Gruul Adventures","4","3","Deck
4 Bonecrusher Giant
8 Forest
4 Edgewall Innkeeper
5 Mountain
4 Lovestruck Beast
4 Brushfire Elemental
4 Kazandu Mammoth
2 Questing Beast
2 Scavenging Ooze
4 Embercleave
1 The Great Henge
4 Shatterskull Smashing
4 Goldspan Dragon
4 Fabled Passage
4 Cragcrown Pathway
2 Snakeskin Veil

Sideboard
3 Soul Sear
3 Wilt
4 Scorching Dragonfire
2 Ox of Agonas
2 Klothys, God of Destiny
1 The Great Henge"
"86","Francisco Sanchez","Naya Fury","4","3","Deck
4 Needleverge Pathway
4 Lovestruck Beast
4 Sejiri Shelter
4 Unleash Fury
2 Plains
2 Fabled Passage
4 Bonecrusher Giant
2 Mountain
4 Kazuul's Fury
4 Showdown of the Skalds
4 Giant Killer
2 Forest
4 Goldspan Dragon
4 Edgewall Innkeeper
4 Cragcrown Pathway
4 Branchloft Pathway
4 Shepherd of the Flock

Sideboard
4 Archon of Absolution
3 Fire Prophecy
2 The Akroan War
2 Embereth Shieldbreaker
2 Ox of Agonas
2 Redcap Melee"
"87","Admassu Williams","Naya Fury","4","3","Deck
4 Giant Killer
4 Shepherd of the Flock
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Lovestruck Beast
4 Unleash Fury
3 Fabled Passage
4 Sejiri Shelter
4 Kazuul's Fury
4 Branchloft Pathway
4 Cragcrown Pathway
4 Needleverge Pathway
4 Goldspan Dragon
4 Showdown of the Skalds
2 Forest
2 Mountain
1 Plains

Sideboard
3 Archon of Absolution
2 Phoenix of Ash
3 Fire Prophecy
2 Roiling Vortex
1 The Akroan War
3 Redcap Melee
1 Ox of Agonas"
"88","Maxence Pougnard","Esper Doom Foretold","4","3","Companion
1 Yorion, Sky Nomad

Deck
3 Archon of Sun's Grace
3 Emeria's Call
4 Extinction Event
2 Dance of the Manse
3 Negate
3 Heartless Act
4 Eliminate
4 Elspeth Conquers Death
4 Doom Foretold
3 Elspeth's Nightmare
2 Omen of the Sun
2 The Raven's Warning
2 Treacherous Blessing
4 Omen of the Sea
4 Fabled Passage
4 Hengegate Pathway
4 Brightclimb Pathway
4 Swamp
4 Clearwater Pathway
2 Temple of Silence
4 Plains
4 Island
2 Temple of Deceit
2 Shadows' Verdict
3 Yorion, Sky Nomad

Sideboard
3 Glass Casket
2 Cling to Dust
3 Mystical Dispute
3 Shark Typhoon
1 Dance of the Manse
1 Yorion, Sky Nomad
2 Disdainful Stroke"
"89","changsu kou","Naya Fury","4","3","Deck
4 Giant Killer
2 Mountain
4 Sejiri Shelter
4 Shepherd of the Flock
4 Unleash Fury
2 Plains
4 Kazuul's Fury
4 Bonecrusher Giant
4 Goldspan Dragon
4 Edgewall Innkeeper
2 Forest
4 Lovestruck Beast
4 Needleverge Pathway
4 Showdown of the Skalds
4 Branchloft Pathway
4 Cragcrown Pathway
2 Fabled Passage

Sideboard
2 Embereth Shieldbreaker
4 Fire Prophecy
2 The Akroan War
3 Ox of Agonas
4 Archon of Absolution"
"90","Michael Shank","Mono-White Aggro","4","3","Deck
4 Alseid of Life's Bounty
2 Giant Killer
3 Halvar, God of Battle
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
4 Usher of the Fallen
3 Maul of the Skyclaves
4 Faceless Haven
19 Snow-Covered Plains
2 Reidane, God of the Worthy
2 Sentinel's Eyes
1 Legion Angel

Sideboard
2 Drannith Magistrate
3 Legion Angel
1 Shadowspear
3 Glass Casket
1 Reidane, God of the Worthy
1 Giant Killer
1 Basri Ket
1 Heliod's Intervention
1 Lurrus of the Dream-Den
1 Baneslayer Angel"
"91","Guilherme Telles","Sultai Ultimatum","4","3","Companion
1 Yorion, Sky Nomad

Deck
3 Eliminate
4 Swamp
3 Heartless Act
2 Valki, God of Lies
2 Negate
3 Shadows' Verdict
4 Forest
4 Binding the Old Gods
1 Disdainful Stroke
2 Jwari Disruption
2 Island
4 Omen of the Sea
2 Shark Typhoon
1 Kiora Bests the Sea God
2 Sea Gate Restoration
2 Alrund's Epiphany
4 Cultivate
4 Emergent Ultimatum
4 Fabled Passage
4 Clearwater Pathway
4 Darkbore Pathway
2 Ketria Triome
4 Barkchannel Pathway
4 Zagoth Triome
1 Extinction Event
3 Mazemind Tome
4 Wolfwillow Haven
1 Vorinclex, Monstrous Raider

Sideboard
1 Cling to Dust
1 Koma, Cosmos Serpent
2 Negate
1 Yorion, Sky Nomad
3 Mystical Dispute
3 Duress
1 Erebos's Intervention
2 Elder Gargaroth
1 Glimpse of Freedom"
"92","Michael Stigall","Sultai Ultimatum","4","3","Companion
1 Yorion, Sky Nomad

Deck
4 Forest
3 Swamp
3 Island
2 Negate
4 Cultivate
1 Temple of Mystery
3 Mystical Dispute
4 Fabled Passage
4 Omen of the Sea
4 Wolfwillow Haven
1 Kiora Bests the Sea God
3 Heartless Act
4 Emergent Ultimatum
4 Zagoth Triome
1 Ketria Triome
4 Clearwater Pathway
2 Sea Gate Restoration
4 Jwari Disruption
3 Shadows' Verdict
4 Barkchannel Pathway
1 Blightstep Pathway
4 Darkbore Pathway
4 Binding the Old Gods
1 Vorinclex, Monstrous Raider
2 Valki, God of Lies
2 Alrund's Epiphany
4 Behold the Multiverse

Sideboard
3 Duress
1 Negate
1 Mystical Dispute
1 Cling to Dust
2 Polukranos, Unchained
1 Heartless Act
1 Yorion, Sky Nomad
1 Eliminate
1 Mazemind Tome
1 Shadows' Verdict
1 Koma, Cosmos Serpent
1 Crippling Fear"
"93","Tina Morgan","Rakdos Sacrifice","4","3","Deck
2 Kroxa, Titan of Death's Hunger
3 Claim the Firstborn
4 Bonecrusher Giant
4 Village Rites
4 Mire Triton
4 Fabled Passage
4 Blightstep Pathway
4 Savai Triome
2 Ox of Agonas
4 Woe Strider
5 Swamp
2 Liliana, Waker of the Dead
4 Shatterskull Smashing
3 Heartless Act
3 Mountain
3 Rankle, Master of Pranks
2 Castle Locthwain
3 The Akroan War

Sideboard
2 Soul Shatter
2 Shredded Sails
4 Duress
1 Kroxa, Titan of Death's Hunger
1 The Akroan War
4 Robber of the Rich
1 Valki, God of Lies"
"94","Diogo Travassos","Dimir Rogues","4","3","Companion
1 Lurrus of the Dream-Den

Deck
3 Agadeem's Awakening
2 Bloodchief's Thirst
4 Clearwater Pathway
1 Didn't Say Please
4 Drown in the Loch
1 Essence Scatter
4 Fabled Passage
2 Heartless Act
4 Into the Story
5 Island
1 Lullmage's Domination
4 Merfolk Windrobber
3 Of One Mind
4 Ruin Crab
4 Soaring Thought-Thief
3 Swamp
4 Temple of Deceit
4 Thieves' Guild Enforcer
2 Zagoth Triome
1 Crippling Fear

Sideboard
2 Bloodchief's Thirst
2 Dead Weight
1 Lurrus of the Dream-Den
2 Mystical Dispute
3 Negate
3 Skyclave Shade
1 Crippling Fear
1 Lullmage's Domination"
"95","Steffen Stadler","Gruul Adventures","4","3","Deck
4 Edgewall Innkeeper
2 Embereth Shieldbreaker
1 Fire Prophecy
2 Scavenging Ooze
4 Brushfire Elemental
4 Bonecrusher Giant
4 Kazandu Mammoth
4 Lovestruck Beast
2 The Akroan War
3 Questing Beast
1 Vivien, Monsters' Advocate
3 Embercleave
2 The Great Henge
2 Shatterskull Smashing
2 Mountain
4 Forest
4 Riverglide Pathway
4 Cragcrown Pathway
4 Barkchannel Pathway
4 Fabled Passage

Sideboard
3 Disdainful Stroke
3 Fire Prophecy
2 Wilt
2 Soul Sear
1 The Akroan War
2 Ox of Agonas
1 Vivien, Monsters' Advocate
1 Storm's Wrath"
"96","Naonari Hoshide","Four-color Midrange","4","3","Deck
1 Vivien, Monsters' Advocate
4 Fabled Passage
2 Mountain
2 Swamp
3 Agonizing Remorse
3 Terror of the Peaks
2 Forest
4 Blightstep Pathway
1 Kroxa, Titan of Death's Hunger
2 Atris, Oracle of Half-Truths
1 Skyclave Shade
3 Heartless Act
1 Temple of Abandon
2 Binding the Old Gods
1 Burning-Rune Demon
3 Esika's Chariot
4 Zagoth Triome
3 Ketria Triome
3 Eliminate
1 Bloodchief's Thirst
2 The Royal Scions
1 Island
3 Bonecrusher Giant
1 Negate
1 Disdainful Stroke
1 Valki, God of Lies
2 Dead Weight
3 Temple of Malice

Sideboard
1 Wilt
1 Mystical Dispute
1 Run Afoul
1 Battle of Frost and Fire
1 Skyclave Shade
1 Klothys, God of Destiny
1 Binding the Old Gods
2 Duress
1 Disdainful Stroke
1 Vivien, Monsters' Advocate
1 Kroxa, Titan of Death's Hunger
1 Burning-Rune Demon
1 Bloodchief's Thirst
1 Dead Weight"
"97","Shoma Kanai","Sultai Ultimatum","4","3","Companion
1 Yorion, Sky Nomad

Deck
2 Valki, God of Lies
1 Vorinclex, Monstrous Raider
2 Alrund's Epiphany
4 Cultivate
4 Emergent Ultimatum
2 Sea Gate Restoration
2 Shadows' Verdict
3 Behold the Multiverse
3 Heartless Act
4 Jwari Disruption
2 Mystical Dispute
2 Negate
4 Binding the Old Gods
1 Kiora Bests the Sea God
4 Omen of the Sea
4 Wolfwillow Haven
4 Barkchannel Pathway
4 Clearwater Pathway
4 Darkbore Pathway
2 Elspeth's Nightmare
4 Fabled Passage
4 Forest
2 Island
1 Ketria Triome
1 Mountain
4 Swamp
1 Temple of Mystery
4 Zagoth Triome
1 Soul Shatter

Sideboard
1 Negate
2 Shadows' Verdict
1 Soul Shatter
2 Cling to Dust
3 Duress
1 Koma, Cosmos Serpent
1 Erebos's Intervention
1 Toski, Bearer of Secrets
1 Yorion, Sky Nomad
2 Extinction Event"
"98","Alessandro Ventura","Sultai Ultimatum","4","3","Companion
1 Yorion, Sky Nomad

Deck
4 Omen of the Sea
1 Valki, God of Lies
4 Heartless Act
3 Cultivate
4 Binding the Old Gods
1 Eliminate
4 Emergent Ultimatum
1 Erebos's Intervention
2 Alrund's Epiphany
1 Kiora Bests the Sea God
2 Extinction Event
4 Zagoth Triome
2 Ketria Triome
4 Barkchannel Pathway
4 Darkbore Pathway
4 Clearwater Pathway
2 Sea Gate Restoration
3 Forest
4 Jwari Disruption
4 Fabled Passage
4 Mazemind Tome
3 Swamp
3 Elspeth's Nightmare
1 Omen of the Hunt
1 Shark Typhoon
2 Shadows' Verdict
2 Yorion, Sky Nomad
4 Wolfwillow Haven
2 Island

Sideboard
1 Yorion, Sky Nomad
1 Polukranos, Unchained
2 Glimpse of Freedom
3 Negate
3 Agonizing Remorse
1 Eliminate
2 Koma, Cosmos Serpent
1 Shadows' Verdict
1 Elder Gargaroth"
"99","Joris Voorn","Dimir Control","4","3","Companion
1 Yorion, Sky Nomad

Deck
4 Behold the Multiverse
2 Bloodchief's Thirst
4 Clearwater Pathway
2 Eliminate
4 Elspeth's Nightmare
2 Essence Scatter
4 Extinction Event
4 Fabled Passage
3 Hagra Mauling
4 Heartless Act
4 Jwari Disruption
1 Lochmere Serpent
3 Mazemind Tome
2 Midnight Clock
2 Negate
3 Neutralize
3 Saw It Coming
1 Sea Gate Restoration
4 Shark Typhoon
3 Blightstep Pathway
3 Riverglide Pathway
2 Temple of Deceit
2 Ugin, the Spirit Dragon
2 Valki, God of Lies
1 Yorion, Sky Nomad
5 Swamp
6 Island

Sideboard
2 Cling to Dust
2 Disdainful Stroke
3 Duress
3 Mystical Dispute
2 Shadows' Verdict
2 Crippling Fear
1 Yorion, Sky Nomad"
"100","Jimmyto Lara","Temur Adventures (Obosh)","4","3","Deck
4 Forest
1 Mountain
2 Embereth Shieldbreaker
4 Lovestruck Beast
2 Questing Beast
3 Embercleave
4 Edgewall Innkeeper
4 Bonecrusher Giant
4 Fabled Passage
2 Fire Prophecy
4 Cragcrown Pathway
4 Riverglide Pathway
4 Brushfire Elemental
2 Tangled Florahedron
4 Shatterskull Smashing
4 Kazandu Mammoth
4 Barkchannel Pathway
4 Goldspan Dragon

Sideboard
1 Island
3 Disdainful Stroke
2 The Akroan War
2 Ox of Agonas
2 Shredded Sails
1 Fire Prophecy
2 Elder Gargaroth
2 Miscast"
"101","Matias De la Parra","Mono-White Aggro","4","3","Deck
4 Alseid of Life's Bounty
2 Giant Killer
2 Halvar, God of Battle
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
3 Usher of the Fallen
4 Maul of the Skyclaves
4 Faceless Haven
18 Snow-Covered Plains
2 Reidane, God of the Worthy
2 Sentinel's Eyes
1 Castle Ardenvale
1 Legion Angel
1 Lurrus of the Dream-Den

Sideboard
2 Reidane, God of the Worthy
3 Legion Angel
2 Soul-Guide Lantern
4 Glass Casket
2 Giant Killer
2 Baneslayer Angel"
"102","James Lebar","Rakdos Mill","3","3","Deck
5 Swamp
4 Mountain
4 Temple of Malice
4 Bonecrusher Giant
2 Kazuul's Fury
4 Fabled Passage
4 Tymaret Calls the Dead
2 Ox of Agonas
4 Mire Triton
4 Kroxa, Titan of Death's Hunger
3 Heartless Act
2 Liliana, Waker of the Dead
3 Shatterskull Smashing
1 Shredded Sails
4 Blightstep Pathway
2 Valki, God of Lies
3 Rankle, Master of Pranks
4 Egon, God of Death
1 Immersturm Predator

Sideboard
2 Duress
2 Claim the Firstborn
2 Shredded Sails
2 Grasp of Darkness
2 The Akroan War
2 Roiling Vortex
2 Soul-Guide Lantern
1 Immersturm Predator"
"103","Zachary Okorn","Naya Fury","3","3","Deck
4 Giant Killer
3 Shepherd of the Flock
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Lovestruck Beast
3 Unleash Fury
3 Fabled Passage
4 Sejiri Shelter
4 Kazuul's Fury
4 Branchloft Pathway
4 Cragcrown Pathway
4 Needleverge Pathway
4 Goldspan Dragon
4 Showdown of the Skalds
1 Plains
2 Mountain
2 Forest
2 The Akroan War

Sideboard
3 Archon of Absolution
2 Redcap Melee
2 Ox of Agonas
4 Fire Prophecy
2 Roiling Vortex
1 Embereth Shieldbreaker
1 Phoenix of Ash"
"104","Erik Coomber","Dimir Mutate","3","3","Deck
4 Pollywog Symbiote
5 Swamp
4 Sea-Dasher Octopus
4 Insatiable Hemophage
5 Island
4 Zagoth Mamba
3 Dirge Bat
4 Pouncing Shoreshark
3 Brazen Borrower
1 Heartless Act
3 Stonecoil Serpent
2 Disdainful Stroke
1 Miscast
1 Mystical Dispute
4 Clearwater Pathway
2 Castle Locthwain
3 Fabled Passage
1 Negate
1 Agadeem's Awakening
3 Jwari Disruption
1 Cling to Dust
1 Bloodchief's Thirst

Sideboard
2 Mystical Dispute
2 Negate
1 Cling to Dust
1 Bloodchief's Thirst
1 Eliminate
2 Slitherwisp
2 Erebos's Intervention
1 Disdainful Stroke
2 Heartless Act
1 Murderous Rider"
"105","Maximillian Wink","Mono-White Aggro","3","3","Deck
3 Giant Killer
4 Faceless Haven
2 Sentinel's Eyes
4 Selfless Savior
2 Usher of the Fallen
4 Luminarch Aspirant
4 Seasoned Hallowblade
2 Reidane, God of the Worthy
4 Maul of the Skyclaves
4 Skyclave Apparition
3 Halvar, God of Battle
19 Snow-Covered Plains
1 Legion Angel
4 Alseid of Life's Bounty

Sideboard
3 Legion Angel
2 Glass Casket
3 Banishing Light
3 Archon of Absolution
1 Glorious Protector
1 Reidane, God of the Worthy
2 Funeral Longboat"
"106","Jeff Einhaus","Gruul Adventures","3","3","Deck
2 Arni Brokenbrow
8 Snow-Covered Forest
4 Edgewall Innkeeper
4 Snow-Covered Mountain
2 Fire Prophecy
2 Scavenging Ooze
4 Brushfire Elemental
4 Shatterskull Smashing
4 Bonecrusher Giant
4 Lovestruck Beast
4 Kazandu Mammoth
2 The Akroan War
2 Questing Beast
4 Embercleave
2 The Great Henge
4 Cragcrown Pathway
4 Fabled Passage

Sideboard
1 Fire Prophecy
2 Wilt
3 Soul Sear
2 Klothys, God of Destiny
1 Ox of Agonas
2 Vivien, Monsters' Advocate
2 Garruk, Unleashed
2 Frost Bite"
"107","Raymond Delmarter","Mono-White Aggro","3","3","Deck
3 Alseid of Life's Bounty
2 Castle Ardenvale
4 Faceless Haven
2 Giant Killer
2 Glass Casket
3 Halvar, God of Battle
3 Luminarch Aspirant
2 Lurrus of the Dream-Den
3 Maul of the Skyclaves
4 Seasoned Hallowblade
4 Selfless Savior
2 Sentinel's Eyes
4 Skyclave Apparition
17 Snow-Covered Plains
3 Usher of the Fallen
2 Drannith Magistrate

Sideboard
2 Baneslayer Angel
2 Drannith Magistrate
2 Giant Killer
2 Glass Casket
2 Glorious Protector
3 Reidane, God of the Worthy
2 Soul-Guide Lantern"
"108","Stefano Giunta","Four-color Cycling","3","3","Companion
1 Lurrus of the Dream-Den

Deck
1 Savai Triome
4 Valiant Rescuer
4 Flourishing Fox
4 Drannith Stinger
4 Boon of the Wish-Giver
4 Brightclimb Pathway
3 Footfall Crater
3 Startling Development
4 Go for Blood
4 Zenith Flare
4 Needleverge Pathway
4 Riverglide Pathway
4 Memory Leak
1 Shredded Sails
3 Improbable Alliance
3 Hengegate Pathway
2 Frostveil Ambush
2 Mystical Dispute
2 Raugrin Triome

Sideboard
3 Glass Casket
1 Negate
1 Soul-Guide Lantern
1 Disdainful Stroke
1 Lurrus of the Dream-Den
1 Shredded Sails
1 Shatter the Sky
1 Doomskar
2 Redcap Melee
2 Roiling Vortex
1 Suffocating Fumes"
"109","Chandrasekhar Bhagavatula","Four-color Cycling","3","3","Companion
1 Lurrus of the Dream-Den

Deck
4 Drannith Stinger
4 Flourishing Fox
4 Drannith Healer
4 Valiant Rescuer
2 Boon of the Wish-Giver
4 Go for Blood
3 Memory Leak
2 Frostveil Ambush
4 Startling Development
4 Zenith Flare
4 Improbable Alliance
2 Brightclimb Pathway
3 Raugrin Triome
4 Needleverge Pathway
1 Blightstep Pathway
1 Clearwater Pathway
4 Hengegate Pathway
4 Riverglide Pathway
2 Shredded Sails

Sideboard
3 Shatter the Sky
2 Roiling Vortex
3 Redcap Melee
2 Shredded Sails
1 Lurrus of the Dream-Den
2 Negate
2 Mystical Dispute"
"110","Felix Vergara","Mono-Red Aggro","3","3","Deck
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
2 Castle Embereth
4 Embercleave
4 Faceless Haven
4 Fervent Champion
4 Fireblade Charger
2 Frost Bite
2 Goldspan Dragon
1 Phoenix of Ash
4 Rimrock Knight
4 Robber of the Rich
19 Snow-Covered Mountain
2 Torbran, Thane of Red Fell

Sideboard
2 Frost Bite
2 Ox of Agonas
1 Phoenix of Ash
2 Scorching Dragonfire
3 The Akroan War
2 Redcap Melee
2 Shredded Sails
1 Soul Sear"
"111","Maher  Samuel","Gruul Adventures","3","3","Deck
4 Bonecrusher Giant
4 Brushfire Elemental
4 Cragcrown Pathway
4 Edgewall Innkeeper
4 Embercleave
4 Fabled Passage
1 Faceless Haven
4 Goldspan Dragon
4 Kazandu Mammoth
4 Lovestruck Beast
2 Questing Beast
2 Scavenging Ooze
4 Shatterskull Smashing
8 Snow-Covered Forest
4 Snow-Covered Mountain
2 The Akroan War
1 The Great Henge

Sideboard
3 Fire Prophecy
3 Klothys, God of Destiny
3 Ox of Agonas
2 Soul Sear
1 The Akroan War
2 Vivien, Monsters' Advocate
1 The Great Henge"
"112","Gavin Bennett","Gruul Aggro","3","3","Deck
2 Arni Brokenbrow
3 Questing Beast
3 Scavenging Ooze
4 Bonecrusher Giant
4 Brushfire Elemental
4 Edgewall Innkeeper
4 Kazandu Mammoth
4 Lovestruck Beast
1 Fire Prophecy
4 Shatterskull Smashing
1 The Akroan War
2 The Great Henge
4 Embercleave
8 Forest
4 Mountain
4 Cragcrown Pathway
4 Fabled Passage

Sideboard
2 Wilt
3 Soul Sear
1 Ox of Agonas
1 Fire Prophecy
1 The Akroan War
3 Klothys, God of Destiny
2 Vivien, Monsters' Advocate
1 Garruk, Unleashed
1 Scorching Dragonfire"
"113","Shota Matsumoto","Sultai Ultimatum","3","3","Deck
2 Valki, God of Lies
2 Shark Typhoon
4 Edgewall Innkeeper
2 Brazen Borrower
4 Fae of Wishes
3 Beanstalk Giant
1 Extinction Event
2 Alrund's Epiphany
2 Shadows' Verdict
3 Cultivate
1 Ketria Triome
3 Emergent Ultimatum
1 Kiora Bests the Sea God
4 Lovestruck Beast
2 Fabled Passage
2 Swamp
4 Barkchannel Pathway
3 Forest
4 Clearwater Pathway
4 Darkbore Pathway
4 Zagoth Triome
2 Island
1 Mountain

Sideboard
2 Toski, Bearer of Secrets
1 Soul Shatter
1 Emergent Ultimatum
2 Negate
1 Duress
2 Mystical Dispute
1 Shadows' Verdict
2 Wilt
1 Heartless Act
1 Extinction Event
1 Shadowspear"
