"Rank","Player","Deck","Wins","Losses","List"
"11","cftsoc","Naya Fury","8","2","Deck
4 Edgewall Innkeeper
2 Forest
4 Lovestruck Beast
4 Unleash Fury
2 Mountain
4 Goldspan Dragon
4 Sejiri Shelter
1 Plains
4 Showdown of the Skalds
4 Shepherd of the Flock
4 Bonecrusher Giant
4 Giant Killer
4 Kazuul's Fury
4 Needleverge Pathway
4 Branchloft Pathway
4 Cragcrown Pathway
3 Fabled Passage

Sideboard
3 Roiling Vortex
2 Scorching Dragonfire
3 Phoenix of Ash
3 Archon of Absolution
1 Tormod's Crypt
2 Redcap Melee
1 Fire Prophecy"
"12","Nicholas DeMichele","Jeskai Cycling","8","2","Companion
1 Lurrus of the Dream-Den

Deck
4 Drannith Stinger
4 Flourishing Fox
4 Drannith Healer
4 Valiant Rescuer
3 Boon of the Wish-Giver
4 Go for Blood
3 Footfall Crater
3 Frostveil Ambush
4 Startling Development
4 Zenith Flare
4 Improbable Alliance
1 Island
4 Raugrin Triome
4 Needleverge Pathway
1 Plains
4 Hengegate Pathway
4 Riverglide Pathway
1 Mountain

Sideboard
2 Shatter the Sky
2 Roiling Vortex
3 Redcap Melee
3 Shredded Sails
1 Lurrus of the Dream-Den
2 Negate
2 Mystical Dispute"
"13","hironori tanaka","Sultai Ultimatum","7","2","Companion
1 Yorion, Sky Nomad

Deck
4 Omen of the Sea
2 Valki, God of Lies
2 Negate
4 Heartless Act
4 Wolfwillow Haven
4 Cultivate
4 Binding the Old Gods
2 Shadows' Verdict
4 Emergent Ultimatum
2 Alrund's Epiphany
1 Kiora Bests the Sea God
4 Zagoth Triome
2 Ketria Triome
4 Barkchannel Pathway
4 Darkbore Pathway
4 Clearwater Pathway
2 Sea Gate Restoration
1 Elspeth's Nightmare
3 Forest
2 Island
4 Jwari Disruption
4 Fabled Passage
3 Mazemind Tome
3 Swamp
1 Eliminate
2 Extinction Event
2 Shark Typhoon
1 Erebos's Intervention
1 Yorion, Sky Nomad

Sideboard
1 Yorion, Sky Nomad
1 Glimpse of Freedom
2 Koma, Cosmos Serpent
1 Shadows' Verdict
2 Duress
3 Mystical Dispute
2 Elder Gargaroth
1 Soul Shatter
1 Elspeth's Nightmare
1 Polukranos, Unchained"
"14","Garrison Fogt","Four-color Cycling","7","2","Companion
1 Lurrus of the Dream-Den

Deck
4 Drannith Stinger
4 Flourishing Fox
4 Drannith Healer
4 Valiant Rescuer
3 Boon of the Wish-Giver
4 Go for Blood
4 Memory Leak
3 Frostveil Ambush
4 Startling Development
4 Zenith Flare
3 Improbable Alliance
2 Brightclimb Pathway
3 Raugrin Triome
4 Needleverge Pathway
1 Blightstep Pathway
1 Clearwater Pathway
4 Hengegate Pathway
4 Riverglide Pathway

Sideboard
3 Shatter the Sky
2 Roiling Vortex
3 Redcap Melee
2 Shredded Sails
1 Lurrus of the Dream-Den
2 Negate
2 Mystical Dispute"
"15","Kazune Kosaka","Naya Fury","7","2","Deck
3 Giant Killer
4 Shepherd of the Flock
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Lovestruck Beast
4 Fabled Passage
4 Sejiri Shelter
4 Kazuul's Fury
4 Branchloft Pathway
4 Cragcrown Pathway
4 Needleverge Pathway
4 Unleash Fury
4 Showdown of the Skalds
2 Forest
2 Mountain
1 Plains
4 Goldspan Dragon

Sideboard
2 Archon of Absolution
2 Roiling Vortex
2 Redcap Melee
3 The Akroan War
2 Ox of Agonas
3 Fire Prophecy
1 Giant Killer"
"16","Lorenzo Pollone","Sultai Ultimatum","7","2","Companion
1 Yorion, Sky Nomad

Deck
2 Valki, God of Lies
4 Mazemind Tome
1 Vorinclex, Monstrous Raider
2 Negate
2 Jwari Disruption
4 Heartless Act
4 Eliminate
2 Extinction Event
2 Sea Gate Restoration
2 Alrund's Epiphany
2 Shadows' Verdict
4 Cultivate
4 Emergent Ultimatum
1 Kiora Bests the Sea God
4 Wolfwillow Haven
4 Omen of the Sea
4 Binding the Old Gods
2 Island
2 Ketria Triome
4 Barkchannel Pathway
4 Darkbore Pathway
4 Forest
4 Swamp
4 Clearwater Pathway
4 Fabled Passage
4 Zagoth Triome

Sideboard
1 Shadows' Verdict
1 Yorion, Sky Nomad
1 Koma, Cosmos Serpent
1 Cling to Dust
2 Duress
2 Crippling Fear
2 Elder Gargaroth
2 Glimpse of Freedom
3 Mystical Dispute"
"17","Barry Riddell","Mono-Red Aggro","7","2","Deck
4 Fervent Champion
2 Rimrock Knight
3 Frost Bite
4 Robber of the Rich
4 Bonecrusher Giant
4 Anax, Hardened in the Forge
3 Embercleave
4 Faceless Haven
20 Snow-Covered Mountain
2 Torbran, Thane of Red Fell
1 Shatterskull Smashing
1 Castle Embereth
2 Goldspan Dragon
3 Fireblade Charger
1 The Akroan War
2 Dragonkin Berserker

Sideboard
2 Redcap Melee
2 Roiling Vortex
1 Embereth Paladin
1 Frost Bite
2 Embereth Shieldbreaker
3 Soul Sear
1 The Akroan War
3 Roil Eruption"
"18","M. Kraus","Naya Fury","7","2","Deck
4 Bonecrusher Giant
4 Branchloft Pathway
4 Brushfire Elemental
4 Cragcrown Pathway
4 Edgewall Innkeeper
3 Embercleave
4 Fabled Passage
4 Forest
2 Giant Killer
2 Questing Beast
4 Kazandu Mammoth
1 Arni Brokenbrow
4 Lovestruck Beast
2 Mountain
3 Needleverge Pathway
1 Plains
3 Shatterskull Smashing
3 Showdown of the Skalds
1 Temple of Plenty
1 The Great Henge
2 Goldspan Dragon

Sideboard
4 Fire Prophecy
1 Klothys, God of Destiny
2 Masked Vandal
2 Ox of Agonas
2 The Akroan War
1 Giant Killer
1 Scavenging Ooze
2 Snakeskin Veil"
"19","NamelessThing","Naya Fury","7","2","Deck
4 Needleverge Pathway
4 Lovestruck Beast
4 Sejiri Shelter
3 Unleash Fury
2 The Akroan War
3 Fabled Passage
4 Bonecrusher Giant
4 Kazuul's Fury
4 Showdown of the Skalds
4 Giant Killer
4 Goldspan Dragon
4 Edgewall Innkeeper
4 Cragcrown Pathway
4 Branchloft Pathway
3 Shepherd of the Flock
1 Plains
2 Mountain
2 Forest

Sideboard
3 Archon of Absolution
1 Redcap Melee
2 Phoenix of Ash
4 Fire Prophecy
2 Roiling Vortex
1 Embereth Shieldbreaker
2 Reidane, God of the Worthy"
"20","Tyler Heule","Mono-Red Aggro","7","2","Deck
4 Bonecrusher Giant
3 Embercleave
4 Fervent Champion
3 Rimrock Knight
4 Robber of the Rich
2 Torbran, Thane of Red Fell
4 Anax, Hardened in the Forge
3 Fireblade Charger
3 Frost Bite
3 Goldspan Dragon
2 Dragonkin Berserker
4 Faceless Haven
2 Castle Embereth
19 Snow-Covered Mountain

Sideboard
2 Ox of Agonas
1 Embereth Paladin
1 Opportunistic Dragon
4 Roiling Vortex
2 Embereth Shieldbreaker
1 Soul Sear
2 Redcap Melee
2 Scorching Dragonfire"
