Rank,Player,Deck,Record,Card,Count,Main/Side
25,Bjorn Telgenkamp,Mono-Red Aggro,7/2/2000,Ox of Agonas,2,Sideboard
25,Bjorn Telgenkamp,Mono-Red Aggro,7/2/2000,Soul Sear,2,Sideboard
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Castle Ardenvale,1,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000, Snow-Covered Plains,18,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Faceless Haven,4,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Giant Killer,2,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Usher of the Fallen,4,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Selfless Savior,4,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Luminarch Aspirant,4,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Seasoned Hallowblade,4,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Maul of the Skyclaves,4,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000,"Reidane, God of the Worthy",2,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Skyclave Apparition,4,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000,"Halvar, God of Battle",2,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Legion Angel,1,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Alseid of Life's Bounty,4,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Sentinel's Eyes,2,Main
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Glass Casket,4,Sideboard
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Drannith Magistrate,2,Sideboard
26,Tianhao Xu,Mono-White Aggro,7/2/2000,"Reidane, God of the Worthy",1,Sideboard
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Legion Angel,2,Sideboard
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Soul-Guide Lantern,1,Sideboard
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Giant Killer,2,Sideboard
26,Tianhao Xu,Mono-White Aggro,7/2/2000,Archon of Absolution,3,Sideboard
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Alseid of Life's Bounty,4,Main
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Faceless Haven,4,Main
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Castle Ardenvale,1,Main
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Giant Killer,3,Main
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Selfless Savior,4,Main
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Usher of the Fallen,3,Main
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Luminarch Aspirant,4,Main
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Seasoned Hallowblade,4,Main
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Maul of the Skyclaves,4,Main
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,"Reidane, God of the Worthy",3,Main
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Skyclave Apparition,4,Main
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Legion Angel,1,Main
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,"Halvar, God of Battle",3,Main
27,Jomy Alfonso,Mono-White Aggro,7/2/2000, Snow-Covered Plains,18,Main
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Baneslayer Angel,1,Sideboard
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Drannith Magistrate,2,Sideboard
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Glass Casket,4,Sideboard
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Legion Angel,2,Sideboard
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Shadowspear,2,Sideboard
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Archon of Absolution,3,Sideboard
27,Jomy Alfonso,Mono-White Aggro,7/2/2000,Giant Killer,1,Sideboard
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Fabled Passage,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Shadows' Verdict,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Ketria Triome,2,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Omen of the Sea,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Zagoth Triome,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Emergent Ultimatum,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Kiora Bests the Sea God,1,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,"Vorinclex, Monstrous Raider",1,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,"Valki, God of Lies",3,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Heartless Act,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Cultivate,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Binding the Old Gods,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,"Polukranos, Unchained",2,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Wolfwillow Haven,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Alrund's Epiphany,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Clearwater Pathway,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Barkchannel Pathway,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Darkbore Pathway,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Jwari Disruption,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Cragcrown Pathway,3,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Forest,2,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Swamp,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Island,2,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Elspeth's Nightmare,4,Main
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,"Yorion, Sky Nomad",1,Sideboard
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Mystical Dispute,3,Sideboard
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Duress,3,Sideboard
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Behold the Multiverse,3,Sideboard
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Saw It Coming,3,Sideboard
28,Alexander Gordon-Brown,Sultai Ultimatum,7/2/2000,Negate,2,Sideboard
29,Achim Noffke,Temur Adventures,7/2/2000,Saw It Coming,4,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Ketria Triome,4,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Riverglide Pathway,4,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Mountain,2,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Bonecrusher Giant,4,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Lovestruck Beast,4,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Island,2,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Alrund's Epiphany,4,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Cragcrown Pathway,4,Main
29,Achim Noffke,Temur Adventures,7/2/2000,The Great Henge,2,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Forest,2,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Brazen Borrower,4,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Edgewall Innkeeper,4,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Goldspan Dragon,4,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Barkchannel Pathway,4,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Fabled Passage,4,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Kazandu Mammoth,4,Main
29,Achim Noffke,Temur Adventures,7/2/2000,Mystical Dispute,4,Sideboard
29,Achim Noffke,Temur Adventures,7/2/2000,Soul Sear,2,Sideboard
29,Achim Noffke,Temur Adventures,7/2/2000,"Obosh, the Preypiercer",1,Sideboard
29,Achim Noffke,Temur Adventures,7/2/2000,Redcap Melee,3,Sideboard
29,Achim Noffke,Temur Adventures,7/2/2000,"Klothys, God of Destiny",2,Sideboard
29,Achim Noffke,Temur Adventures,7/2/2000,Ox of Agonas,2,Sideboard
29,Achim Noffke,Temur Adventures,7/2/2000,Broken Wings,1,Sideboard
30,Berk Elçi,Dimir Rogues,7/2/2000,Merfolk Windrobber,3,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Ruin Crab,4,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Soaring Thought-Thief,4,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Thieves' Guild Enforcer,4,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,"Valki, God of Lies",2,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Agadeem's Awakening,2,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Bloodchief's Thirst,2,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Lullmage's Domination,2,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Of One Mind,2,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Drown in the Loch,4,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Heartless Act,3,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Into the Story,4,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Blightstep Pathway,1,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Clearwater Pathway,4,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Fabled Passage,4,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Island,4,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Riverglide Pathway,1,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Swamp,3,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Temple of Deceit,4,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Zagoth Triome,2,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Didn't Say Please,1,Main
30,Berk Elçi,Dimir Rogues,7/2/2000,Bloodchief's Thirst,1,Sideboard
30,Berk Elçi,Dimir Rogues,7/2/2000,Cling to Dust,2,Sideboard
30,Berk Elçi,Dimir Rogues,7/2/2000,Crippling Fear,2,Sideboard
30,Berk Elçi,Dimir Rogues,7/2/2000,Disdainful Stroke,2,Sideboard
30,Berk Elçi,Dimir Rogues,7/2/2000,Lurrus of the Dream-Den,1,Sideboard
30,Berk Elçi,Dimir Rogues,7/2/2000,Mystical Dispute,2,Sideboard
30,Berk Elçi,Dimir Rogues,7/2/2000,Skyclave Shade,3,Sideboard
30,Berk Elçi,Dimir Rogues,7/2/2000,Negate,2,Sideboard
31,Florian Klein,Grixis Control,7/2/2000,Blightstep Pathway,4,Main
31,Florian Klein,Grixis Control,7/2/2000,Bonecrusher Giant,4,Main
31,Florian Klein,Grixis Control,7/2/2000,Claim the Firstborn,4,Main
31,Florian Klein,Grixis Control,7/2/2000,Fabled Passage,4,Main
31,Florian Klein,Grixis Control,7/2/2000,Immersturm Predator,3,Main
31,Florian Klein,Grixis Control,7/2/2000,"Kroxa, Titan of Death's Hunger",2,Main
31,Florian Klein,Grixis Control,7/2/2000,Mountain,2,Main
31,Florian Klein,Grixis Control,7/2/2000,Island,1,Main
31,Florian Klein,Grixis Control,7/2/2000,The Akroan War,4,Main
31,Florian Klein,Grixis Control,7/2/2000,Riverglide Pathway,4,Main
31,Florian Klein,Grixis Control,7/2/2000,"Valki, God of Lies",2,Main
31,Florian Klein,Grixis Control,7/2/2000,Village Rites,4,Main
31,Florian Klein,Grixis Control,7/2/2000,Swamp,3,Main
31,Florian Klein,Grixis Control,7/2/2000,Woe Strider,4,Main
31,Florian Klein,Grixis Control,7/2/2000,Mire Triton,3,Main
31,Florian Klein,Grixis Control,7/2/2000,Kazuul's Fury,2,Main
31,Florian Klein,Grixis Control,7/2/2000,Temple of Deceit,2,Main
31,Florian Klein,Grixis Control,7/2/2000,"Thassa, Deep-Dwelling",2,Main
31,Florian Klein,Grixis Control,7/2/2000,Clearwater Pathway,4,Main
31,Florian Klein,Grixis Control,7/2/2000,Skyclave Shade,2,Main
31,Florian Klein,Grixis Control,7/2/2000,Duress,3,Sideboard
31,Florian Klein,Grixis Control,7/2/2000,Skyclave Shade,1,Sideboard
31,Florian Klein,Grixis Control,7/2/2000,Ox of Agonas,2,Sideboard
31,Florian Klein,Grixis Control,7/2/2000,Disdainful Stroke,3,Sideboard
31,Florian Klein,Grixis Control,7/2/2000,Mystical Dispute,2,Sideboard
31,Florian Klein,Grixis Control,7/2/2000,"Jegantha, the Wellspring",1,Sideboard
31,Florian Klein,Grixis Control,7/2/2000,Roiling Vortex,1,Sideboard
31,Florian Klein,Grixis Control,7/2/2000,Negate,2,Sideboard
32,Tian Fa Mun,Four-color Control,6/3/2000,"Yorion, Sky Nomad",3,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Omen of the Sea,4,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Omen of the Sun,2,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Archon of Sun's Grace,2,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Heartless Act,4,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Golden Egg,2,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Extinction Event,4,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Dance of the Manse,2,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Treacherous Blessing,2,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Elspeth's Nightmare,4,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Doom Foretold,4,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Swamp,2,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Plains,2,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Island,2,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Fabled Passage,4,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,The Raven's Warning,2,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Forest,1,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Clearwater Pathway,4,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Brightclimb Pathway,4,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Eliminate,3,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Hengegate Pathway,4,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Zagoth Triome,4,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Negate,2,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Binding the Old Gods,4,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Indatha Triome,3,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Branchloft Pathway,2,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Barkchannel Pathway,2,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,Emeria's Call,2,Main
32,Tian Fa Mun,Four-color Control,6/3/2000,"Yorion, Sky Nomad",1,Sideboard
32,Tian Fa Mun,Four-color Control,6/3/2000,Dance of the Manse,1,Sideboard
32,Tian Fa Mun,Four-color Control,6/3/2000,Mystical Dispute,2,Sideboard
32,Tian Fa Mun,Four-color Control,6/3/2000,Archon of Sun's Grace,1,Sideboard
32,Tian Fa Mun,Four-color Control,6/3/2000,Cling to Dust,1,Sideboard
32,Tian Fa Mun,Four-color Control,6/3/2000,Glass Casket,2,Sideboard
32,Tian Fa Mun,Four-color Control,6/3/2000,Disdainful Stroke,2,Sideboard
32,Tian Fa Mun,Four-color Control,6/3/2000,Negate,2,Sideboard
32,Tian Fa Mun,Four-color Control,6/3/2000,Chainweb Aracnir,1,Sideboard
32,Tian Fa Mun,Four-color Control,6/3/2000,Miscast,2,Sideboard
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Fervent Champion,4,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Rimrock Knight,2,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Frost Bite,3,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Robber of the Rich,4,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Bonecrusher Giant,4,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,"Anax, Hardened in the Forge",4,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Embercleave,3,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Faceless Haven,4,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000, Snow-Covered Mountain,20,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,"Torbran, Thane of Red Fell",2,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Shatterskull Smashing,1,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Castle Embereth,1,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Goldspan Dragon,2,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Fireblade Charger,3,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,The Akroan War,1,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Dragonkin Berserker,2,Main
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Ox of Agonas,2,Sideboard
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Redcap Melee,2,Sideboard
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Roiling Vortex,1,Sideboard
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Embereth Paladin,2,Sideboard
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Frost Bite,1,Sideboard
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Embereth Shieldbreaker,3,Sideboard
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,Soul Sear,3,Sideboard
33,Tatsuaki Yajima,Mono-Red Aggro,6/3/2000,The Akroan War,1,Sideboard
34,PTarts2win,Gruul Adventures,6/3/2000,Edgewall Innkeeper,4,Main
34,PTarts2win,Gruul Adventures,6/3/2000,Mountain,4,Main
34,PTarts2win,Gruul Adventures,6/3/2000,Forest,8,Main
34,PTarts2win,Gruul Adventures,6/3/2000,Scavenging Ooze,3,Main
34,PTarts2win,Gruul Adventures,6/3/2000,Brushfire Elemental,4,Main
34,PTarts2win,Gruul Adventures,6/3/2000,Shatterskull Smashing,4,Main
34,PTarts2win,Gruul Adventures,6/3/2000,Bonecrusher Giant,4,Main
34,PTarts2win,Gruul Adventures,6/3/2000,Lovestruck Beast,4,Main
34,PTarts2win,Gruul Adventures,6/3/2000,Kazandu Mammoth,4,Main
34,PTarts2win,Gruul Adventures,6/3/2000,Questing Beast,3,Main
34,PTarts2win,Gruul Adventures,6/3/2000,Embercleave,4,Main
34,PTarts2win,Gruul Adventures,6/3/2000,Cragcrown Pathway,4,Main
34,PTarts2win,Gruul Adventures,6/3/2000,Fabled Passage,4,Main
34,PTarts2win,Gruul Adventures,6/3/2000,The Great Henge,2,Main
34,PTarts2win,Gruul Adventures,6/3/2000,The Akroan War,2,Main
34,PTarts2win,Gruul Adventures,6/3/2000,Fire Prophecy,2,Main
34,PTarts2win,Gruul Adventures,6/3/2000,Fire Prophecy,2,Sideboard
34,PTarts2win,Gruul Adventures,6/3/2000,Soul Sear,2,Sideboard
34,PTarts2win,Gruul Adventures,6/3/2000,"Klothys, God of Destiny",3,Sideboard
34,PTarts2win,Gruul Adventures,6/3/2000,The Akroan War,2,Sideboard
34,PTarts2win,Gruul Adventures,6/3/2000,Ox of Agonas,2,Sideboard
34,PTarts2win,Gruul Adventures,6/3/2000,"Vivien, Monsters' Advocate",2,Sideboard
34,PTarts2win,Gruul Adventures,6/3/2000,Wilt,2,Sideboard
35,Alberto Canetti,Gruul Adventures,6/3/2000,Edgewall Innkeeper,4,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Forest,7,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Mountain,5,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Scavenging Ooze,2,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Brushfire Elemental,4,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Shatterskull Smashing,4,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Bonecrusher Giant,4,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Lovestruck Beast,4,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Kazandu Mammoth,4,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Questing Beast,3,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Embercleave,3,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Cragcrown Pathway,4,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Fabled Passage,4,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,The Great Henge,2,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Arni Brokenbrow,2,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Fire Prophecy,2,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,The Akroan War,2,Main
35,Alberto Canetti,Gruul Adventures,6/3/2000,Wilt,2,Sideboard
35,Alberto Canetti,Gruul Adventures,6/3/2000,Soul Sear,3,Sideboard
35,Alberto Canetti,Gruul Adventures,6/3/2000,Ox of Agonas,2,Sideboard
35,Alberto Canetti,Gruul Adventures,6/3/2000,"Garruk, Unleashed",2,Sideboard
35,Alberto Canetti,Gruul Adventures,6/3/2000,Phoenix of Ash,2,Sideboard
35,Alberto Canetti,Gruul Adventures,6/3/2000,Redcap Melee,2,Sideboard
35,Alberto Canetti,Gruul Adventures,6/3/2000,Fire Prophecy,2,Sideboard
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Zagoth Triome,4,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Island,3,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Swamp,3,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Forest,3,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Jwari Disruption,2,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Darkbore Pathway,4,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Barkchannel Pathway,4,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Clearwater Pathway,4,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Fabled Passage,4,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Shark Typhoon,1,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Omen of the Sea,4,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Binding the Old Gods,4,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Shadows' Verdict,2,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Heartless Act,4,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Cultivate,4,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Alrund's Epiphany,2,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Eliminate,4,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Elder Gargaroth,2,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Extinction Event,2,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Emergent Ultimatum,4,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Disdainful Stroke,1,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Sea Gate Restoration,2,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Kiora Bests the Sea God,1,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Negate,1,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Mazemind Tome,4,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Wolfwillow Haven,4,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Ketria Triome,1,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Blightstep Pathway,1,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Cragcrown Pathway,1,Main
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,"Yorion, Sky Nomad",1,Sideboard
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Mystical Dispute,3,Sideboard
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Negate,1,Sideboard
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Duress,2,Sideboard
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Crippling Fear,1,Sideboard
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,"Polukranos, Unchained",2,Sideboard
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Glimpse of Freedom,2,Sideboard
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,Shadows' Verdict,1,Sideboard
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,"Valki, God of Lies",1,Sideboard
36,Koutarou Ishibashi,Sultai Ultimatum,6/3/2000,"Koma, Cosmos Serpent",1,Sideboard
37,Darío Fernández,Jund Sacrifice,6/3/2000,Blightstep Pathway,4,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Bonecrusher Giant,4,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Cragcrown Pathway,4,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Claim the Firstborn,4,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Fabled Passage,4,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Immersturm Predator,3,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,"Kroxa, Titan of Death's Hunger",2,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Mountain,2,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Swamp,3,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Forest,1,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,The Akroan War,3,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Temple of Malice,2,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,"Valki, God of Lies",3,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Village Rites,4,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Woe Strider,4,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Skyclave Shade,4,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Kazuul's Fury,2,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,"Korvold, Fae-Cursed King",3,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Darkbore Pathway,4,Main
37,Darío Fernández,Jund Sacrifice,6/3/2000,Duress,3,Sideboard
37,Darío Fernández,Jund Sacrifice,6/3/2000,Elspeth's Nightmare,2,Sideboard
37,Darío Fernández,Jund Sacrifice,6/3/2000,Heartless Act,2,Sideboard
