Rank,Player,Deck,Record,Card,Count,Main/Side
4,liopoil,Naya Adventures,9/3/2000,Branchloft Pathway,4,Main
4,liopoil,Naya Adventures,9/3/2000,Cragcrown Pathway,4,Main
4,liopoil,Naya Adventures,9/3/2000,Needleverge Pathway,4,Main
4,liopoil,Naya Adventures,9/3/2000,Goldspan Dragon,4,Main
4,liopoil,Naya Adventures,9/3/2000,Showdown of the Skalds,4,Main
4,liopoil,Naya Adventures,9/3/2000,Plains,2,Main
4,liopoil,Naya Adventures,9/3/2000,Mountain,2,Main
4,liopoil,Naya Adventures,9/3/2000,Forest,1,Main
4,liopoil,Naya Adventures,9/3/2000,Archon of Absolution,3,Sideboard
4,liopoil,Naya Adventures,9/3/2000,Redcap Melee,2,Sideboard
4,liopoil,Naya Adventures,9/3/2000,Ox of Agonas,1,Sideboard
4,liopoil,Naya Adventures,9/3/2000,Phoenix of Ash,2,Sideboard
4,liopoil,Naya Adventures,9/3/2000,Scorching Dragonfire,2,Sideboard
4,liopoil,Naya Adventures,9/3/2000,Roiling Vortex,2,Sideboard
4,liopoil,Naya Adventures,9/3/2000,The Akroan War,1,Sideboard
4,liopoil,Naya Adventures,9/3/2000,Tormod's Crypt,1,Sideboard
4,liopoil,Naya Adventures,9/3/2000,"Reidane, God of the Worthy",1,Sideboard
5,J  P,Mono-Red Aggro,9/2/2000,Arni Brokenbrow,2,Main
5,J  P,Mono-Red Aggro,9/2/2000,Frost Bite,4,Main
5,J  P,Mono-Red Aggro,9/2/2000,Bonecrusher Giant,4,Main
5,J  P,Mono-Red Aggro,9/2/2000,Fireblade Charger,4,Main
5,J  P,Mono-Red Aggro,9/2/2000,"Anax, Hardened in the Forge",4,Main
5,J  P,Mono-Red Aggro,9/2/2000,Robber of the Rich,4,Main
5,J  P,Mono-Red Aggro,9/2/2000,Rimrock Knight,4,Main
5,J  P,Mono-Red Aggro,9/2/2000,Fervent Champion,4,Main
5,J  P,Mono-Red Aggro,9/2/2000,Embercleave,4,Main
5,J  P,Mono-Red Aggro,9/2/2000,"Torbran, Thane of Red Fell",2,Main
5,J  P,Mono-Red Aggro,9/2/2000,Castle Embereth,2,Main
5,J  P,Mono-Red Aggro,9/2/2000,Faceless Haven,4,Main
5,J  P,Mono-Red Aggro,9/2/2000, Snow-Covered Mountain,18,Main
5,J  P,Mono-Red Aggro,9/2/2000,Embereth Paladin,2,Sideboard
5,J  P,Mono-Red Aggro,9/2/2000,The Akroan War,2,Sideboard
5,J  P,Mono-Red Aggro,9/2/2000,Claim the Firstborn,4,Sideboard
5,J  P,Mono-Red Aggro,9/2/2000,Roiling Vortex,3,Sideboard
5,J  P,Mono-Red Aggro,9/2/2000,Phoenix of Ash,3,Sideboard
5,J  P,Mono-Red Aggro,9/2/2000,Ox of Agonas,1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Omen of the Sea,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,"Valki, God of Lies",1,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Heartless Act,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Cultivate,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Binding the Old Gods,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Eliminate,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Emergent Ultimatum,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Erebos's Intervention,1,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Alrund's Epiphany,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Kiora Bests the Sea God,1,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Extinction Event,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Zagoth Triome,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Ketria Triome,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Barkchannel Pathway,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Darkbore Pathway,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Clearwater Pathway,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Sea Gate Restoration,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Forest,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Jwari Disruption,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Fabled Passage,3,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Mazemind Tome,3,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Elspeth's Nightmare,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Island,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Shark Typhoon,1,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Shadows' Verdict,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,"Yorion, Sky Nomad",2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Wolfwillow Haven,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Esika's Chariot,1,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Swamp,3,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,"Yorion, Sky Nomad",1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,"Polukranos, Unchained",1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Negate,2,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Agonizing Remorse,2,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Eliminate,1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,"Koma, Cosmos Serpent",2,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Soul Shatter,1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Elder Gargaroth,1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Disdainful Stroke,2,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Shark Typhoon,1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Cling to Dust,1,Sideboard
7,Riley Hicks,Jund Sacrifice,8/3/2000,Blightstep Pathway,4,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Bonecrusher Giant,4,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Cragcrown Pathway,4,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Claim the Firstborn,4,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Fabled Passage,4,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Immersturm Predator,2,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,"Kroxa, Titan of Death's Hunger",2,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Mountain,2,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Swamp,3,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Forest,1,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,The Akroan War,3,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Temple of Malice,2,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,"Valki, God of Lies",3,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Village Rites,4,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Woe Strider,4,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Skyclave Shade,4,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Kazuul's Fury,1,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,"Korvold, Fae-Cursed King",2,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Darkbore Pathway,4,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Hagra Mauling,1,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,"Rankle, Master of Pranks",1,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Necromentia,1,Main
7,Riley Hicks,Jund Sacrifice,8/3/2000,Duress,1,Sideboard
7,Riley Hicks,Jund Sacrifice,8/3/2000,Elspeth's Nightmare,1,Sideboard
7,Riley Hicks,Jund Sacrifice,8/3/2000,Heartless Act,2,Sideboard
7,Riley Hicks,Jund Sacrifice,8/3/2000,Ox of Agonas,2,Sideboard
7,Riley Hicks,Jund Sacrifice,8/3/2000,"Klothys, God of Destiny",2,Sideboard
7,Riley Hicks,Jund Sacrifice,8/3/2000,"Toski, Bearer of Secrets",1,Sideboard
7,Riley Hicks,Jund Sacrifice,8/3/2000,Embereth Shieldbreaker,1,Sideboard
7,Riley Hicks,Jund Sacrifice,8/3/2000,Necromentia,3,Sideboard
7,Riley Hicks,Jund Sacrifice,8/3/2000,The Akroan War,1,Sideboard
7,Riley Hicks,Jund Sacrifice,8/3/2000,Masked Vandal,1,Sideboard
8,targetplayer,Selesnya Adventures,8/3/2000,Giant Killer,4,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Forest,6,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Usher of the Fallen,4,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Shepherd of the Flock,4,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Edgewall Innkeeper,4,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Plains,7,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Seasoned Hallowblade,4,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Skyclave Apparition,4,Main
8,targetplayer,Selesnya Adventures,8/3/2000,"Toski, Bearer of Secrets",4,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Lovestruck Beast,4,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Scavenging Ooze,2,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Maul of the Skyclaves,2,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Castle Ardenvale,2,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Kabira Takedown,2,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Branchloft Pathway,4,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Fabled Passage,2,Main
8,targetplayer,Selesnya Adventures,8/3/2000,Temple of Plenty,1,Main
8,targetplayer,Selesnya Adventures,8/3/2000,"Reidane, God of the Worthy",4,Sideboard
8,targetplayer,Selesnya Adventures,8/3/2000,Chainweb Aracnir,3,Sideboard
8,targetplayer,Selesnya Adventures,8/3/2000,Masked Vandal,2,Sideboard
8,targetplayer,Selesnya Adventures,8/3/2000,Run Afoul,1,Sideboard
8,targetplayer,Selesnya Adventures,8/3/2000,Luminarch Aspirant,2,Sideboard
8,targetplayer,Selesnya Adventures,8/3/2000,Soul-Guide Lantern,3,Sideboard
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,"Anax, Hardened in the Forge",4,Main
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Bonecrusher Giant,4,Main
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Embercleave,4,Main
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Faceless Haven,4,Main
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Fervent Champion,4,Main
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Fireblade Charger,4,Main
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Frost Bite,3,Main
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Phoenix of Ash,2,Main
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Rimrock Knight,4,Main
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Robber of the Rich,4,Main
9,RobertTheBruce,Mono-Red Aggro,8/2/2000, Snow-Covered Mountain,19,Main
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,"Torbran, Thane of Red Fell",3,Main
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Castle Embereth,1,Main
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Ox of Agonas,2,Sideboard
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Roiling Vortex,3,Sideboard
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Scorching Dragonfire,2,Sideboard
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Shredded Sails,2,Sideboard
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,The Akroan War,2,Sideboard
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Redcap Melee,2,Sideboard
9,RobertTheBruce,Mono-Red Aggro,8/2/2000,Embereth Shieldbreaker,2,Sideboard
10,Eliott_dragon,Dimir Control,8/2/2000,Shark Typhoon,3,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Cling to Dust,1,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Snow-Covered Swamp,5,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Erebos's Intervention,1,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Disdainful Stroke,3,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Negate,4,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Omen of the Sea,4,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Eliminate,4,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Heartless Act,4,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Mazemind Tome,4,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Midnight Clock,2,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Saw It Coming,2,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Soul Shatter,3,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Graven Lore,4,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Shadows' Verdict,4,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Behold the Multiverse,2,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Jwari Disruption,3,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Dismal Backwater,3,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Field of Ruin,4,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Fabled Passage,1,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Crawling Barrens,3,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Snow-Covered Island,6,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Ice Tunnel,1,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Temple of Deceit,4,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Clearwater Pathway,4,Main
10,Eliott_dragon,Dimir Control,8/2/2000,Castle Vantress,1,Main
10,Eliott_dragon,Dimir Control,8/2/2000,"Yorion, Sky Nomad",1,Sideboard
10,Eliott_dragon,Dimir Control,8/2/2000,Shark Typhoon,1,Sideboard
10,Eliott_dragon,Dimir Control,8/2/2000,Behold the Multiverse,1,Sideboard
10,Eliott_dragon,Dimir Control,8/2/2000,Duress,3,Sideboard
10,Eliott_dragon,Dimir Control,8/2/2000,"Ugin, the Spirit Dragon",1,Sideboard
10,Eliott_dragon,Dimir Control,8/2/2000,Skyclave Shade,1,Sideboard
10,Eliott_dragon,Dimir Control,8/2/2000,Disdainful Stroke,1,Sideboard
10,Eliott_dragon,Dimir Control,8/2/2000,Erebos's Intervention,2,Sideboard
10,Eliott_dragon,Dimir Control,8/2/2000,Saw It Coming,1,Sideboard
10,Eliott_dragon,Dimir Control,8/2/2000,Mythos of Nethroi,1,Sideboard
10,Eliott_dragon,Dimir Control,8/2/2000,Bloodchief's Thirst,2,Sideboard
11,cftsoc,Naya Adventures,8/2/2000,Edgewall Innkeeper,4,Main
11,cftsoc,Naya Adventures,8/2/2000,Forest,2,Main
11,cftsoc,Naya Adventures,8/2/2000,Lovestruck Beast,4,Main
11,cftsoc,Naya Adventures,8/2/2000,Unleash Fury,4,Main
11,cftsoc,Naya Adventures,8/2/2000,Mountain,2,Main
11,cftsoc,Naya Adventures,8/2/2000,Goldspan Dragon,4,Main
11,cftsoc,Naya Adventures,8/2/2000,Sejiri Shelter,4,Main
11,cftsoc,Naya Adventures,8/2/2000,Plains,1,Main
11,cftsoc,Naya Adventures,8/2/2000,Showdown of the Skalds,4,Main
11,cftsoc,Naya Adventures,8/2/2000,Shepherd of the Flock,4,Main
11,cftsoc,Naya Adventures,8/2/2000,Bonecrusher Giant,4,Main
11,cftsoc,Naya Adventures,8/2/2000,Giant Killer,4,Main
11,cftsoc,Naya Adventures,8/2/2000,Kazuul's Fury,4,Main
11,cftsoc,Naya Adventures,8/2/2000,Needleverge Pathway,4,Main
11,cftsoc,Naya Adventures,8/2/2000,Branchloft Pathway,4,Main
11,cftsoc,Naya Adventures,8/2/2000,Cragcrown Pathway,4,Main
11,cftsoc,Naya Adventures,8/2/2000,Fabled Passage,3,Main
11,cftsoc,Naya Adventures,8/2/2000,Roiling Vortex,3,Sideboard
11,cftsoc,Naya Adventures,8/2/2000,Scorching Dragonfire,2,Sideboard
11,cftsoc,Naya Adventures,8/2/2000,Phoenix of Ash,3,Sideboard
11,cftsoc,Naya Adventures,8/2/2000,Archon of Absolution,3,Sideboard
11,cftsoc,Naya Adventures,8/2/2000,Tormod's Crypt,1,Sideboard
11,cftsoc,Naya Adventures,8/2/2000,Redcap Melee,2,Sideboard
11,cftsoc,Naya Adventures,8/2/2000,Fire Prophecy,1,Sideboard
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Drannith Stinger,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Flourishing Fox,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Drannith Healer,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Valiant Rescuer,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Boon of the Wish-Giver,3,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Go for Blood,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Footfall Crater,3,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Frostveil Ambush,3,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Startling Development,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Zenith Flare,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Improbable Alliance,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Island,1,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Raugrin Triome,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Needleverge Pathway,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Plains,1,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Hengegate Pathway,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Riverglide Pathway,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Mountain,1,Main
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Shatter the Sky,2,Sideboard
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Roiling Vortex,2,Sideboard
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Redcap Melee,3,Sideboard
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Shredded Sails,3,Sideboard
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Lurrus of the Dream-Den,1,Sideboard
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Negate,2,Sideboard
12,Nicholas DeMichele,Jeskai Cycling,8/2/2000,Mystical Dispute,2,Sideboard
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Omen of the Sea,4,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,"Valki, God of Lies",2,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Negate,2,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Heartless Act,4,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Wolfwillow Haven,4,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Cultivate,4,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Binding the Old Gods,4,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Shadows' Verdict,2,Main
13,hironori tanaka,Sultai Ultimatum,7/2/2000,Emergent Ultimatum,4,Main
